"","Job.Title","Job.Type","Salary.Estimate","Salary.Mean","Rating","Company.Name","Location","Headquarters","Size","Founded","Type.of.ownership","Industry","Sector","Revenue","Competitors"
"44","Scientist - Molecular Biology","Other","75-131 ",103,5,"Arsenal Biosciences","South San Francisco, CA","South San Francisco, CA","51 to 200","2019","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Unknown"
"45","Data Scientist","Data Scientist","75-131 ",103,4.2,"Eversight","Palo Alto, CA","Palo Alto, CA","51 to 200","2013","Company - Private","Enterprise Software & Network Solutions","Information Technology","10 to 25 million","Unknown"
"46","Computational Scientist, Machine Learning","Machine Learning Engineer","75-131 ",103,4.1,"Pfizer","Cambridge, MA","New York, NY","10000+","1849","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Unknown"
"47","Senior Data Scientist","Data Scientist","75-131 ",103,4.8,"Klaviyo","Boston, MA","Boston, MA","201 to 500","2012","Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"48","Data Scientist","Data Scientist","75-131 ",103,3.3,"Intellectual Ventures","Bellevue, WA","Bellevue, WA","501 to 1000","2000","Company - Private","Investment Banking & Asset Management","Finance","Unknown / Non-Applicable","Unknown"
"49","Data Scientist","Data Scientist","75-131 ",103,3.7,"GovTech","San Francisco, CA","Singapore, Singapore","1001 to 5000","2016","Government","Federal Agencies","Government","Unknown / Non-Applicable","Unknown"
"50","Data Scientist","Data Scientist","75-131 ",103,4.3,"Quick Base","Cambridge, MA","Cambridge, MA","201 to 500","1999","Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Unknown"
"51","Data Analyst","Data Analyst","75-131 ",103,4.8,"Giving Assistant","San Francisco, CA","San Francisco, CA","1 to 50","2014","Company - Private","Advertising & Marketing","Business Services","10 to 25 million","Unknown"
"52","Data Scientist","Data Scientist","75-131 ",103,3.7,"Takeda","Cambridge, MA","OSAKA, Japan","10000+","1781","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Novartis, Baxter, Pfizer"
"53","Data Scientist","Data Scientist","75-131 ",103,4,"Netskope","San Francisco, CA","Santa Clara, CA","501 to 1000","2012","Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Skyhigh Networks, Zscaler, NortonLifeLock"
"54","Jr. Data Engineer","Data Engineer","75-131 ",103,4.8,"IT Concepts","Remote","Vienna, VA","51 to 200","2003","Company - Private","IT Services","Information Technology","10 to 25 million","Unknown"
"55","E-Commerce Data Analyst","Data Analyst","75-131 ",103,3.5,"iSeatz","New Orleans, LA","New Orleans, LA","51 to 200","1999","Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Unknown"
"56","Data Analytics Engineer","Other","75-131 ",103,3.7,"Summa Health System","Akron, OH","Akron, OH","5001 to 10000","1926","Nonprofit Organization","Health Care Services & Hospitals","Health Care","100 to 500 million","Unknown"
"57","Senior Data Scientist","Data Scientist","75-131 ",103,3.5,"Benson Hill","Saint Louis, MO","Saint Louis, MO","201 to 500","2012","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","1 to 5 million","Unknown"
"58","Product Data Scientist - Ads Data Science","Data Scientist","75-131 ",103,4.1,"Twitter","San Francisco, CA","San Francisco, CA","1001 to 5000","2006","Company - Public","Internet","Information Technology","2 to 5 billion","Facebook, Google, Pinterest"
"59","Data Scientist","Data Scientist","75-131 ",103,3.2,"Postmates - Corporate HQ","San Francisco, CA","San Francisco, CA","1001 to 5000","2011","Company - Private","Express Delivery Services","Transportation & Logistics","Unknown / Non-Applicable","DoorDash, Uber, Grubhub"
"60","Data Scientist - Intermediate","Data Scientist","75-131 ",103,4.5,"Envision LLC","Saint Louis, MO","Saint Louis, MO","201 to 500","1994","Company - Private","Staffing & Outsourcing","Business Services","25 to 50 million","Unknown"
"61","Data Analyst","Data Analyst","75-131 ",103,3.8,"Swiss Re","Fort Wayne, IN","Zurich, Switzerland","10000+","1863","Company - Public","Insurance Agencies & Brokerages","Insurance","10+ billion","Munich Re, Hannover RE, SCOR"
"62","Machine Learning Engineer","Machine Learning Engineer","75-131 ",103,4.5,"Systems & Technology Research","Woburn, MA","Woburn, MA","201 to 500","2010","Company - Private","Aerospace & Defense","Aerospace & Defense","100 to 500 million","Unknown"
"63","Data Scientist","Data Scientist","79-131 ",105,3.5,"iRobot","Bedford, MA","Bedford, MA","1001 to 5000","1990","Company - Public","Consumer Electronics & Appliances Stores","Retail","1 to 2 billion","Unknown"
"64","Data Scientist","Data Scientist","79-131 ",105,4.2,"HG Insights","Santa Barbara, CA","Santa Barbara, CA","51 to 200","2010","Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"65","Global Data Analyst","Data Analyst","79-131 ",105,3.8,"Dermalogica","Carson, CA","Carson, CA","201 to 500","1986","Subsidiary or Business Segment","Consumer Products Manufacturing","Manufacturing","100 to 500 million","IMAGE Skincare, Aveda, Kiehl's"
"66","Data Engineer","Data Engineer","79-131 ",105,3.7,"Bayview Asset Management","Coral Gables, FL","Coral Gables, FL","1001 to 5000","1995","Company - Private","Investment Banking & Asset Management","Finance","100 to 500 million","Unknown"
"67","Data Scientist","Data Scientist","79-131 ",105,3.7,"Via Transportation","New York, NY","New York, NY","501 to 1000","2012","Company - Private","Internet","Information Technology","Unknown / Non-Applicable","Unknown"
"68","Data Scientist","Data Scientist","79-131 ",105,4,"Grid Dynamics","Santa Clara, CA","San Ramon, CA","1001 to 5000","2006","Company - Private","Enterprise Software & Network Solutions","Information Technology","50 to 100 million","Luxoft, EPAM, Capgemini Invent"
"69","Data & Machine Learning Scientist","Machine Learning Engineer","79-131 ",105,3.3,"Tempus Labs","Chicago, IL","Chicago, IL","501 to 1000","2015","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Unknown"
"70","Data Scientist - Machine Learning","Data Scientist","79-131 ",105,2.5,"CareDx","Brisbane, CA","Brisbane, CA","1 to 50","Unknown","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Sequenom"
"71","Data Engineer (Remote)","Data Engineer","79-131 ",105,4.2,"IZEA","Winter Park, FL","Winter Park, FL","51 to 200","2006","Company - Public","Advertising & Marketing","Business Services","25 to 50 million","Linqia, Collective Bias"
"72","Data Scientist, Applied Machine Learning - Bay Area","Data Scientist","79-131 ",105,3.3,"Tempus Labs","Redwood City, CA","Chicago, IL","501 to 1000","2015","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Unknown"
"73","Principal Data Scientist","Data Scientist","79-131 ",105,4,"Autodesk","San Francisco, CA","San Rafael, CA","5001 to 10000","1982","Company - Public","Computer Hardware & Software","Information Technology","2 to 5 billion","Unknown"
"74","Business Data Analyst","Data Analyst","79-131 ",105,3.7,"Caterpillar","Peoria, IL","Deerfield, IL","10000+","1925","Company - Public","Industrial Manufacturing","Manufacturing","10+ billion","John Deere, Komatsu, CNH Industrial"
"75","Purification Scientist","Other","79-131 ",105,4.9,"New England Biolabs","Ipswich, MA","Ipswich, MA","201 to 500","1974","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Thermo Fisher Scientific, Enzymatics, Illumina"
"76","Data Analyst","Data Analyst","79-131 ",105,3.4,"Allied Solutions","Carmel, IN","Carmel, IN","1001 to 5000","2001","Subsidiary or Business Segment","Insurance Agencies & Brokerages","Insurance","100 to 500 million","CUNA Mutual, SWBC, Overby-Seawell"
"77","Data Engineer, Enterprise Analytics","Data Engineer","79-131 ",105,3.1,"Healthfirst","New York, NY","New York, NY","1001 to 5000","1993","Nonprofit Organization","Insurance Carriers","Insurance","Unknown / Non-Applicable","EmblemHealth, UnitedHealth Group, Aetna"
"78","Data Scientist","Data Scientist","79-131 ",105,3.5,"The Knot Worldwide","Washington, DC","Chevy Chase, MD","1001 to 5000","2019","Company - Private","Internet","Information Technology","Unknown / Non-Applicable","Zola Registry"
"79","Data Scientist","Data Scientist","79-131 ",105,2.9,"IFG Companies","New York, NY","Hartford, CT","201 to 500","1985","Company - Private","Insurance Carriers","Insurance","Unknown / Non-Applicable","Colony Specialty, Markel, RLI"
"80","Data Scientist 3 (718)","Data Scientist","79-131 ",105,3.3,"Amyris","Emeryville, CA","Emeryville, CA","201 to 500","2003","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million","Unknown"
"81","Real World Science, Data Scientist","Data Scientist","79-131 ",105,4,"AstraZeneca","Gaithersburg, MD","Cambridge, United Kingdom","10000+","1913","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Roche, GlaxoSmithKline, Novartis"
"82","Data Scientist","Data Scientist","79-131 ",105,3.6,"Powertek","Washington, DC","Rockville, MD","51 to 200","2001","Company - Private","IT Services","Information Technology","25 to 50 million","Unknown"
"83","Data Engineer","Data Engineer","79-131 ",105,4.7,"Object Partners","Saint Louis, MO","Minneapolis, MN","51 to 200","1996","Company - Private","Consulting","Business Services","25 to 50 million","Solution Design Group, Intertech (Minnesota)"
"84","Data Scientist - Image and Video Analytics","Data Scientist","79-131 ",105,4.9,"The Mom Project","Longmont, CO","Chicago, IL","1 to 50","2016","Company - Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable","Unknown"
"85","Data Scientist","Data Scientist","79-131 ",105,4.3,"Lightspeed Systems","Austin, TX","Austin, TX","51 to 200","1999","Company - Private","Computer Hardware & Software","Information Technology","25 to 50 million","Unknown"
"86","Data Science Manager, Payment Acceptance - USA","Other","79-131 ",105,4,"Stripe","San Francisco, CA","San Francisco, CA","1001 to 5000","2010","Company - Private","Internet","Information Technology","Unknown / Non-Applicable","Braintree, Authorize.Net, PayPal"
"87","Data Analyst","Data Analyst","79-131 ",105,2.6,"Comprehensive Healthcare","Yakima, WA","Yakima, WA","501 to 1000","1971","Nonprofit Organization","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","Unknown"
"88","Data Scientist / Applied Mathematician","Data Scientist","79-131 ",105,4.5,"Fullpower Technologies, Inc.","Santa Cruz, CA","Santa Cruz, CA","51 to 200","2003","Company - Private","Computer Hardware & Software","Information Technology","10 to 25 million","Unknown"
"89","Machine Learning Engineer","Machine Learning Engineer","79-131 ",105,4.8,"Klaviyo","Boston, MA","Boston, MA","201 to 500","2012","Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"90","Data Scientist","Data Scientist","79-131 ",105,3.9,"Mars","United States","Mc Lean, VA","10000+","1911","Company - Private","Food & Beverage Manufacturing","Manufacturing","10+ billion","Unknown"
"91","Patient Safety- Associate Data Scientist","Data Scientist","79-131 ",105,4,"AstraZeneca","Gaithersburg, MD","Cambridge, United Kingdom","10000+","1913","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Roche, GlaxoSmithKline, Novartis"
"92","Machine Learning Engineer","Machine Learning Engineer","79-131 ",105,4.4,"NuWave Solutions","Springfield, VA","Mc Lean, VA","51 to 200","1999","Company - Private","IT Services","Information Technology","5 to 10 million","Unknown"
"93","Senior Data Scientist","Data Scientist","79-131 ",105,4.2,"ManTech","Alexandria, VA","Herndon, VA","5001 to 10000","1968","Company - Public","Research & Development","Business Services","1 to 2 billion","Unknown"
"94","(Sr.) Data Scientist -","Data Scientist","79-131 ",105,3.6,"Merrick Bank","Utah","South Jordan, UT","201 to 500","1997","Company - Private","Banks & Credit Unions","Finance","Unknown / Non-Applicable","Unknown"
"95","Data Scientist","Data Scientist","99-132 ",115.5,3.4,"Mathematica Policy Research","Washington, DC","Princeton, NJ","1001 to 5000","1986","Company - Private","Consulting","Business Services","100 to 500 million","Unknown"
"96","Staff Data Scientist - Analytics","Data Scientist","99-132 ",115.5,4.4,"Intuit - Data","San Diego, CA","Mountain View, CA","5001 to 10000","1983","Company - Public","Computer Hardware & Software","Information Technology","2 to 5 billion","Square, PayPal, H&R Block"
"97","Data Analytics Engineer","Other","99-132 ",115.5,3.5,"QOMPLX","Reston, VA","Reston, VA","51 to 200","2015","Company - Private","Enterprise Software & Network Solutions","Information Technology","10 to 25 million","Unknown"
"98","Data Scientist, Kinship - NYC/Portland","Data Scientist","99-132 ",115.5,3.9,"Mars","New York, NY","Mc Lean, VA","10000+","1911","Company - Private","Food & Beverage Manufacturing","Manufacturing","10+ billion","Unknown"
"99","Senior Data Scientist","Data Scientist","99-132 ",115.5,3.8,"GutCheck","Denver, CO","Denver, CO","51 to 200","2009","Company - Private","Advertising & Marketing","Business Services","10 to 25 million","Nielsen, Zappi, SurveyMonkey"
"100","Applied Technology Researcher / Data Scientist","Data Scientist","99-132 ",115.5,3.5,"Inter-American Development Bank","Washington, DC","Washington, DC","1001 to 5000","1959","Other Organization","Banks & Credit Unions","Finance","10+ billion","The World Bank, IMF"
"101","Data Scientist","Data Scientist","99-132 ",115.5,4.9,"Avlino","New Jersey","Holmdel, NJ","1 to 50","2013","Company - Private","Enterprise Software & Network Solutions","Information Technology","Less than 1 million","Unknown"
"102","Machine Learning Engineer","Machine Learning Engineer","99-132 ",115.5,4.4,"Stratagem Group","Aurora, CO","Aurora, CO","1 to 50","2007","Company - Private","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable","Unknown"
"103","Health Data Scientist - Biomedical/Biostats","Data Scientist","99-132 ",115.5,4.1,"Evidation","Santa Barbara, CA","San Mateo, CA","51 to 200","2012","Company - Private","Internet","Information Technology","Unknown / Non-Applicable","Unknown"
"104","Senior Data Scientist","Data Scientist","99-132 ",115.5,4,"Autodesk","San Francisco, CA","San Rafael, CA","5001 to 10000","1982","Company - Public","Computer Hardware & Software","Information Technology","2 to 5 billion","Unknown"
"105","Staff Data Scientist","Data Scientist","99-132 ",115.5,4.4,"Intuit - Data","San Diego, CA","Mountain View, CA","5001 to 10000","1983","Company - Public","Computer Hardware & Software","Information Technology","2 to 5 billion","Square, PayPal, H&R Block"
"106","Data Scientist","Data Scientist","99-132 ",115.5,3.8,"Tecolote Research","Hill AFB, UT","Goleta, CA","501 to 1000","1973","Company - Private","Aerospace & Defense","Aerospace & Defense","50 to 100 million","Unknown"
"107","Sr Data Engineer (Sr BI Developer)","Data Engineer","99-132 ",115.5,3.2,"Tivity Health","Chandler, AZ","Franklin, TN","501 to 1000","1981","Company - Public","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","Unknown"
"108","Data Engineer","Data Engineer","99-132 ",115.5,2.9,"hc1","Indianapolis, IN","Indianapolis, IN","51 to 200","2011","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 to 25 million","Unknown"
"109","Lead Data Scientist","Data Scientist","99-132 ",115.5,4.1,"HP Inc.","San Diego, CA","Palo Alto, CA","10000+","1939","Company - Public","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"110","Data Scientist","Data Scientist","99-132 ",115.5,3.7,"SAIC","Chantilly, VA","Reston, VA","10000+","2013","Company - Public","Enterprise Software & Network Solutions","Information Technology","5 to 10 million","Booz Allen Hamilton, CACI International"
"111","RFP Data Analyst","Data Analyst","99-132 ",115.5,3.2,"AllianceBernstein","Nashville, TN","New York, NY","1001 to 5000","1967","Company - Public","Investment Banking & Asset Management","Finance","2 to 5 billion","Unknown"
"112","Data Analyst","Data Analyst","99-132 ",115.5,4.9,"Big Huge Games","Timonium, MD","Lutherville Timonium, MD","51 to 200","2013","Subsidiary or Business Segment","Video Games","Media","Unknown / Non-Applicable","Unknown"
"113","Data Scientist (TS/SCI)","Data Scientist","99-132 ",115.5,3.5,"Maxar Technologies","Herndon, VA","Westminster, CO","5001 to 10000","Unknown","Company - Public","Aerospace & Defense","Aerospace & Defense","2 to 5 billion","Unknown"
"114","Data Engineer","Data Engineer","99-132 ",115.5,5,"Phantom AI","Burlingame, CA","Burlingame, CA","1 to 50","2016","Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"115","Data Scientist","Data Scientist","99-132 ",115.5,4,"Noblis","Reston, VA","Reston, VA","1001 to 5000","1996","Nonprofit Organization","Consulting","Business Services","100 to 500 million","Booz Allen Hamilton, SAIC, LMI"
"116","Data Scientist","Data Scientist","99-132 ",115.5,3.6,"Spring Health","New York, NY","New York, NY","1 to 50","2016","Company - Private","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","Unknown"
"117","Software Engineer - Data Science","Other","99-132 ",115.5,4,"ClearEdge","Annapolis Junction, MD","Annapolis Junction, MD","51 to 200","2002","Company - Private","Computer Hardware & Software","Information Technology","5 to 10 million","Unknown"
"118","Data Analyst/Engineer","Data Analyst","99-132 ",115.5,3.2,"AllianceBernstein","Nashville, TN","New York, NY","1001 to 5000","1967","Company - Public","Investment Banking & Asset Management","Finance","2 to 5 billion","Unknown"
"119","NGS Scientist","Other","99-132 ",115.5,5,"Arsenal Biosciences","South San Francisco, CA","South San Francisco, CA","51 to 200","2019","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Unknown"
"120","Data Engineer","Data Engineer","99-132 ",115.5,4.8,"GetWellNetwork","Bethesda, MD","Bethesda, MD","201 to 500","2000","Company - Private","Health Care Services & Hospitals","Health Care","50 to 100 million","Epic, CipherHealth"
"121","Data Scientist","Data Scientist","99-132 ",115.5,4.5,"TACG Solutions","Dayton, OH","Beavercreek, OH","51 to 200","2006","Company - Private","Consulting","Business Services","Unknown / Non-Applicable","Copper River Shared Services, Chenega Corporation, Deloitte"
"122","Senior Data Engineer","Data Engineer","99-132 ",115.5,4.7,"Scoop","San Francisco, CA","San Francisco, CA","51 to 200","2015","Company - Private","Internet","Information Technology","Unknown / Non-Applicable","Unknown"
"123","Senior Data Scientist","Data Scientist","99-132 ",115.5,4.5,"Novetta","Herndon, VA","Mc Lean, VA","501 to 1000","2012","Company - Private","Enterprise Software & Network Solutions","Information Technology","100 to 500 million","Leidos, CACI International, Booz Allen Hamilton"
